text,label
Nhập miễn phí trong 2 WKLY Comp để giành chiến thắng FA Cup Final TKTS ngày 21 tháng 5 năm 2005. Văn bản FA đến 87121 để nhận câu hỏi nhập cảnh (tỷ lệ STD TXT) T & C áp dụng 08452810075Over18,1
Bạn không nói quá sớm ... bạn đã nói ...,0
"Không, tôi không nghĩ anh ấy đến USF, anh ấy sống quanh đây",0
Ngay cả anh trai tôi cũng không thích nói chuyện với tôi.,0
Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được đặt làm người gọi của bạn cho tất cả người gọi.,0
Người chiến thắng !!,1
Có di động của bạn 11 tháng trở lên?,1
"Tôi sẽ về nhà sớm và tôi không muốn nói về những thứ này nữa tối nay, K?",0
Sáu cơ hội để giành được tiền mặt!,1
CẤP BÁCH!,1
Tôi đã tìm kiếm những từ thích hợp để cảm ơn bạn vì hơi thở này.,0
Tôi có một cuộc hẹn vào Chủ nhật với Will !!,0
"XXXMOBILEMOVIECLUB: Để sử dụng tín dụng của bạn, nhấp vào liên kết WAP trong thông báo TXT tiếp theo hoặc nhấp vào đây >> http: // wap.",1
Oh k ... tôi đang xem ở đây :),0
Eh bạn nhớ làm thế nào 2 đánh vần tên của anh ấy ... vâng tôi đã làm.,0
Tốt nếu đó là cách bạn cảm thấy.,0
Anh v Macedonia - Đừng bỏ lỡ các mục tiêu/tin tức của đội.,1
Đó có phải là một cách nghiêm túc về cách bạn đánh vần tên của anh ấy?,0
Tôi sẽ cố gắng thử trong 2 tháng ha ha chỉ nói đùa,0
"Vì vậy, ì_ trả trước lần cuối cùng ... thì khi nào là cổ phiếu ...",0
Phía sau tôi hoàn thành bữa trưa của mình sau đó tôi đi xuống.,0
Ffffffffff.,0
Chỉ buộc mình phải ăn một lát.,0
Lol bạn luôn luôn thuyết phục.,0
Bạn đã bắt xe buýt?,0
Tôi trở lại & amp;,0
Ahhh.,0
"Đợi đã vẫn không rõ ràng, bạn không chắc chắn về việc tôi bị mỉa mai hay đó là lý do tại sao X không muốn sống với chúng tôi",0
"Vâng, anh ấy đã vào lúc 2 tuổi và V xin lỗi.",0
K Hãy cho tôi biết bất cứ điều gì về bạn.,0
Vì sợ ngất xỉu với tất cả những công việc nhà mà bạn vừa làm?,0
"Cảm ơn bạn đã đăng ký với Ringtone UK, điện thoại di động của bạn sẽ được tính phí £ 5/tháng, vui lòng xác nhận bằng cách trả lời có hoặc không.",1
Yup ... ok tôi về nhà nhìn vào thời gian rồi tôi tin ì_ một lần nữa ... Xuhui sẽ học vào ngày 2 tháng 5 cũng vậy nhưng bài học của cô ấy là lúc 8 giờ sáng,0
"Rất tiếc, tôi sẽ cho bạn biết khi bạn cùng phòng của tôi xong",0
Tôi thấy chữ B trên xe của tôi,0
Bất cứ điều gì ... bạn quyết định ...,0
Xin chào!,0
Xin vui lòng đi trước với Watts.,0
Tôi đã quên nói với bạn?,0
07732584351 - Rodger Burns - MSG = Chúng tôi đã cố gắng gọi cho bạn trả lời của bạn cho SMS của chúng tôi cho một máy quay Nokia Mobile + miễn phí miễn phí.,1
Bạn đang nhìn thấy ai?,0
Tuyệt vời!,0
Không có cuộc gọi..Messages..missed cuộc gọi,0
Bạn đã không được tiêm chủng Hep B ở Nigeria.,0
"Đủ công bằng, bất cứ điều gì đang xảy ra?",0
"Vâng hy vọng, nếu Tyler không thể làm điều đó, tôi có thể hỏi xung quanh một chút",0
Bạn không biết tôi bướng bỉnh như thế nào.,0
Bạn nghĩ gì về tôi.,0
Một gram thường chạy như & lt;#& gt;,0
K FYI X có một chuyến đi vào sáng sớm mai nhưng anh ấy đã gặp nạn tại chỗ của chúng tôi tối nay,0
Ồ.,0
SMS.,1
Bạn có biết Mallika Sherawat đã làm gì ngày hôm qua không?,0
Xin chúc mừng!,1
"Xin lỗi, tôi sẽ gọi sau trong cuộc họp.",0
Cho biết bạn đã đạt được nơi nào,0
Có..Gauti và Sehwag ra khỏi loạt ODI.,0
Bạn sẽ phải lấy một chiếc burger $ 1 cho chính mình trên đường về nhà.,0
Ha ha ha trò đùa hay.,0
Nó là một phần của việc kiểm tra IQ,0
"Xin lỗi bạn cùng phòng của tôi đã mất mãi mãi, có ổn không nếu tôi đến bây giờ?",0
OK Lar Tôi kiểm tra kỹ Wif Da Hair Chail đã anh ấy nói Wun Cut V Short.,0
"Là một khách hàng có giá trị, tôi vui mừng khuyên bạn rằng sau khi xem xét gần đây về mob của bạn, bạn được trao giải thưởng thưởng Å £ 1500, hãy gọi 09066364589",1
"Hôm nay là \ bài hát dành riêng cho ngày .. \ ""Bạn sẽ dành bài hát nào cho tôi?",0
"Urgent Ur đã trao một chuyến đi miễn phí cho Eurodisinc Trav, ACO & Entry41 hoặc Å £ 1000.",1
"Bạn có nghe nói về \ mới Barbie \ ""? Nó đi kèm với tất cả các thứ của Ken!""",1
Tôi máy bay để cho vào cuối tháng này.,0
Người đàn ông may mắn ... sau đó có thể tiết kiệm tiền ... hee ...,0
Hoàn thành lớp học ở đâu.,0
"Chào em yêu, tôi đang ở nhà bây giờ muốn làm gì đó?",0
K..k :) Bạn đang ở đâu? Bạn đã biểu diễn như thế nào?,0
Bạn có thể gọi cho tôi ngay bây giờ ...,0
Tôi đang đợi Machan.,0
Điều đó thật tuyệt.,0
Tôi thích bạn mọi người rất nhiều :) nhưng tôi rất nhút nhát.,0
Không hoạt động sau & lt;#& gt;,0
Nó không giống nhau ở đây.,0
"Xin lỗi, tôi sẽ gọi sau",0
K. Bạn đã gọi cho tôi ngay bây giờ ah?,0
"Được rồi, tôi đang trên đường về nhà. Xin chào",0
Bạn sẽ ở vị trí của người đàn ông đó,0
Yup điểm dừng tiếp theo.,0
"Tôi gọi cho bạn sau, không có mạng.",0
Thực sự khi bạn nhận được trên yo?,0
"Vâng, tôi bắt đầu gửi yêu cầu để thực hiện nhưng nỗi đau đã trở lại nên tôi trở lại giường.",0
Tôi thực sự không muốn nó vẫn còn tối nay em yêu,0
Tôi thực sự không muốn nó vẫn còn tối nay em yêu,0
Vâng làm!,0
Xin lỗi là một nỗi đau.,0
Nụ cười trong niềm vui cười trong nụ cười đau khi rắc rối như mưa như mưa khi sum1 đau bạn cười vì ai đó vẫn thích nhìn thấy bạn mỉm cười !!,0
Vui lòng gọi cho đại diện dịch vụ khách hàng của chúng tôi theo số 0800 169 6031 trong khoảng từ 10 giờ sáng đến 9 giờ tối vì bạn đã giành được giải thưởng £ 1000 tiền mặt hoặc Å £ 5000!,1
Không có kế hoạch mua sau.,0
Không có kế hoạch mua sau.,1
Xem phim tiếng Telugu..có bạn thì sao?,0
tôi hiểu rồi.,0
CHÀO.,0
Xin đừng nhắn tin cho tôi nữa.,0
"Được rồi, giá của bạn miễn là hợp pháp của nó!",0
Tôi vẫn đang tìm một chiếc xe để mua.,0
Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được đặt làm người gọi của bạn cho tất cả người gọi.,0
Ồ.,0
Umma cuộc sống của tôi và vava umma yêu bạn rất nhiều,0
Cảm ơn rất nhiều vì những lời chúc của bạn vào ngày sinh nhật của tôi.,0
"Aight, tôi sẽ đánh bạn khi tôi nhận được một số tiền mặt",0
Làm thế nào kiểm tra địa chỉ IP của tôi rằng xem xét máy tính của tôi không phải là máy chủ Minecraft,0
Đừng lo lắng.,0
Số nhiều của nghiên cứu danh từ là gì?,0
Đi ăn tối.msg bạn sau.,0
Tôi ổn với nó vì tôi muốn 2 thử những điều mới.,0
QUÝ ÔNG!,1
"Wa, câu mở đầu của bạn rất trang trọng ... Dù sao, tôi cũng ổn, Juz tt Tôi đang ăn quá nhiều n puttin về cân nặng ... haha ... có gì đặc biệt xảy ra không?",0
"Khi tôi bước vào cabin của tôi, tôi đã nói, '' B'day Boss hạnh phúc !! ''.",0
"Bạn là người chiến thắng, bạn đã được chọn đặc biệt 2 £ 1000 hoặc 4* Holiday (Flights Inc) Nói chuyện với Nhà điều hành trực tiếp 2 Yêu cầu 0871277810910P/phút (18+)",1
Goodo!,0
Hmm ... chú tôi chỉ thông báo cho tôi rằng anh ấy đang trả tiền trực tiếp cho trường.,0
RIÊNG TƯ!,1
CẤP BÁCH!,1
CẤP BÁCH!,0
Các số Voda Today kết thúc 7548 được chọn để nhận giải thưởng $ 350.,1
Tôi sẽ đến Sao Mu hôm nay.,0
Ì ì dự đoán wat thời gian Ì_ sẽ hoàn thành việc mua?,0
"Công cụ tốt, sẽ làm.",0
"Chỉ để bạn biết, Yetunde vẫn chưa gửi tiền.",0
Bạn có ở trong phòng không.,0
Bạn có ở trong phòng không.,0
K..k :) nó có giá bao nhiêu?,0
Tôi về nhà.,0
"Thân mến, sẽ gọi vào ngày mai. Xin vui lòng có chỗ ở.",0
Câu trả lời đầu tiên câu hỏi của tôi.,0
Câu đố về ánh nắng mặt trời wkly Q!,1
Câu đố về ánh nắng mặt trời wkly Q!,1
Tôi chỉ haf msn.,0
Anh ấy ở đó.,0
Không không.,0
Bạn sẽ không RCV thêm bất kỳ tin nhắn nào từ SVC trò chuyện.,1
Có c ... Tôi lười gõ ... Tôi quên ì_ trong bài giảng ... Tôi đã thấy một túi nhưng giống như không V tốt ...,0
"K, nhắn tin cho tôi khi bạn đang trên đường",0
"Thưa ông, chờ thư của bạn.",0
"Thưa ông, chờ thư của bạn.",0
Tôi biết bạn là.,0
"Vâng, xem bạn không có trên dấu chấm",0
Tên nhân viên đang tham gia lớp học cho chúng tôi là gì?,0
Freemsg Tại sao bạn không trả lời văn bản của tôi?,1
Ummma. Hãy gọi sau khi kiểm tra. Cuộc sống của chúng tôi sẽ bắt đầu từ Qatar nên xin cầu nguyện rất nhiều.,0
Ummma. Hãy gọi sau khi kiểm tra. Cuộc sống của chúng tôi sẽ bắt đầu từ Qatar nên xin cầu nguyện rất nhiều.,0
Sindhu có công việc ở Birlasoft ..,0
Rượu đang chảy và tôi không bao giờ bao giờ ..,0
Yup i thk cine tốt hơn vì không cần 2 đi xuống 2 plaza mah.,0
Ok ... bạn trả lời điển hình ...,0
Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được đặt làm người gọi của bạn cho tất cả người gọi.,0
"Bạn ở khắp mọi nơi bẩn thỉu, trên sàn nhà, cửa sổ, thậm chí trên áo của tôi.",0
